Code;Inbounder;Supplier;Product;ShowWeb;Preferred_service;Beschrijving_kort;Beschrijving_lang;Contact_persoon;Contact_email;Contact_phone;Klant_phone;Klant_email;Locatie_stad;Locatie_straat;Locatie_land;Datum_contact_aangepast
BEACH1770;PANP;;1770 Beach Shacks;0;Logies;;;;;;;;Town of 1770;;AU;
PENSIONESYD;PANP;;1831 Boutique Hotel;0;Logies;;;;;;;;Sydney;;AU;
CROWHO;PANP;;58 On Cron Motel;0;Logies;;;;;;;;Franz Josef;;NZ;
ABETASNSN;PANP;;Abel Tasman Lodge;0;Logies;;;;;;;;Marahau;;NZ;
OCEAMZP;PANP;;Abel Tasman Ocean View Chalets;0;Logies;;;;;;;;Marahau;;NZ;
ABEMEL;PANP;;Abode By Easystay;0;Incl. Ontbijt;;;;;;;;Melbourne;;AU;
ADABBH;PANP;;Adabco Boutique Hotel;0;Logies;;;;;;;;Adelaide;;AU;
ASMERADL;PANP;;Adelaide Meridien Hotel & Apartments;0;Logies;;;;;;;;Adelaide;;AU;
MEDINAGR;PANP;;Adina Apartment Hotel Adelaide Treasury;0;Logies;;;;;;;;Adelaide;;AU;
ADINAKAKL;PANP;;Adina Apartment Hotel Auckland, Britomart;0;Logies;;;;;;;;Auckland;;NZ;
RENDEZVOUS;PANP;;Adina Apartment Hotel Brisbane Anzac Square;0;Logies;;;;;;;;Brisbane;;AU;
MEDINAE;PANP;;Adina Apartment Hotel Coogee;0;Logies;;;;;;;;Sydney;;AU;
MEDDARW;PANP;;Adina Apartment Hotel Darwin Waterfront;0;Logies;;;;;;;;Darwin;;AU;
MEDINAGRAPER;PANP;;Adina Apartment Hotel Perth;0;Logies;;;;;;;;Perth;;AU;
ADSAPT;PANP;;Adina Apartment Hotel Sydney Airport;0;Logies;;;;;;;;Sydney;;AU;
MEDINAEX1;PANP;;Adina Apartment Hotel Sydney Central;0;Logies;;;;;;;;Sydney;;AU;
MEDCROWN;PANP;;Adina Apartment Hotel Sydney Surry Hills;0;Logies;;;;;;;;Sydney;;AU;
MEDGRSYD;PANP;;Adina Apartment Hotel Sydney Town Hall;0;Logies;;;;;;;;Sydney;;AU;
MEDINAEXECBR;PANP;;Adina Serviced Apartments Canberra James Court;0;Logies;;;;;;;;Canberra;;AU;
 MEDINAMP;PANP;;Adina Serviced Apartments Sydney Martin Place;0;Logies;;;;;;;;Sydney;;AU;
AIRAIRL;PANP;;Airlie Beach Hotel;0;Logies;;;;;;;;Airlie Beach;;AU;
xx;PANP;;Airport Palms Motel NZ;0;;;;;;;;;Christchurch;;NZ;
ALEPER;PANP;;Alex Hotel;0;Logies;;;;;;;;Perth;;AU;
ALICEONTOASP;PANP;;Alice on Todd Apartments;0;Logies;;;;;;;;Alice Springs;;AU;
AARONSALLPER;PANP;;All Suites Perth;0;Logies;;;;;;;;Perth;;AU;
ALPIKKE;PANP;;Alpine View Motel;0;Logies;;;;;;;;Kaikoura;;NZ;
LAKEJAB;PANP;;Anbinik Kakadu Resort;0;Logies;;;;;;;;Jabiru;;AU;
ANCHORCRM;PANP;;Anchor Lodge Motel;0;Logies;;;;;;;;Coromandel;;NZ;
ANCTEU;PANP;;Anchorage Motel;0;Logies;;;;;;;;Te Anau;;NZ;
ANCHORAGETUO;PANP;;Anchorage Resort;0;Logies;;;;;;;;Taupo;;NZ;
AORAKI;PANP;;Aoraki Court Motel;0;Logies;;;;;;;;Mount Cook;;NZ;
AOTLODCMV;PANP;;Aotearoa Lodge;0;Logies;;;;;;;;Whitianga;;NZ;
ARGDAR;PANP;;Argus Apartments Darwin;0;Logies;;;;;;;;Darwin;;AU;
ARGDRW;PANP;;Argus Hotel Darwin;0;Incl. Ontbijt;;;;;;;;Darwin;;AU;
MASONICNPE;PANP;;Art Deco Masonic Hotel;0;Logies;;;;;;;;Napier;;NZ;
ASCOTIAQN;PANP;;Ascotia Off Queen;0;Logies;;;;;;;;Auckland;;NZ;
AORAKIWHO;PANP;;Aspen Court Motel;0;Logies;;;;;;;;Franz Josef;;NZ;
BOATAIR;PANP;;At Boathaven Bay Holiday Apartments Airlie Beach;0;Logies;;;;;;;;Airlie Beach;;AU;
MARIAIR;PANP;;At Marina Shores;0;Logies;;;;;;;;Airlie Beach;;AU;
AKLHTL;PANP;;Auckland City Hotel;0;Logies;;;;;;;;Auckland;;NZ;
TERRASP;PANP;;Aurora Alice Springs Resort;0;Logies;;;;;;;;Alice Springs;;AU;
AVEPIH;PANP;;Averill Court Motel;0;Logies;;;;;;;;Paihia;;NZ;
CHIFAKL;PANP;;Barclay Suites;0;Logies;;;;;;;;Auckland;;NZ;
BARSHI;PANP;;Barossa Shiraz Estate;0;Incl. Ontbijtproviand;;;;;;;;Barossa Valley;;AU;
WEINTALRETAN;PANP;;Barossa Weintal Resort;0;Logies;;;;;;;;Barossa Valley;;AU;
BATMEL;PANP;;Batman's Hill on Collins;0;Logies;;;;;;;;Melbourne;;AU;
BAYBATE;PANP;;Bay Breeze Boutique Accommodation;0;Logies;;;;;;;;Batemans Bay;;AU;
BAYSTE;PANP;;Bay Motel;0;Logies;;;;;;;;Stewart Island;;NZ;
BPD;PANP;;Bay Plaza Hotel;0;Logies;;;;;;;;Wellington;;NZ;
BAYCNS;BAVI;;Bay Village Tropical Retreat;0;Logies;;;;;;;;Cairns;;AU;
BAYVILLASPTD;PANP;;Bay Villas Resort;0;Logies;;;;;;;;Port Douglas;;AU;
BAYSIDEHOBME;PANP;;Bayside Holiday Apartments;0;Logies;;;;;;;;Broome;;AU;
BEAWHI;PANP;;Beachside Resort;0;Logies;;;;;;;;Whitianga;;NZ;
BEACONPT;PANP;;Beacon Point Ocean View Villas;0;Logies;;;;;;;;Apollo Bay;;AU;
BEARWAL;PANP;;Bear Gully Coastal Cottages;0;Logies;;;;;;;;Walkerville;;AU;
BEDBIN;PANP;;Bed In The Treetops B&B;0;Incl. Ontbijt;;;;;;;;Binalong Bay;;AU;
BEERSHEBAIVC;PANP;;Beersheba Boutique Accommodation;0;Logies;;;;;;;;Invercargill;;NZ;
IMINTJIWIGIB;PANP;;Bell Gorge Wilderness Lodge;0;Incl. Ontbijt & Diner;;;;;;;;Bell Gorge Wilderness Lodge;;AU;
BELNPE;PANP;;Bella Tuscany On Kennedy;0;Logies;;;;;;;;Napier;;NZ;
 BELLAVISTBHE;PANP;;Bella Vista Motel Blenheim;0;Logies;;;;;;;;Blenheim;;NZ;
BELLAVISTCHC;PANP;;Bella Vista Motel Christchurch;0;Logies;;;;;;;;Christchurch;;NZ;
 BELLADUD;PANP;;Bella Vista Motel Dunedin;0;Logies;;;;;;;;Dunedin;;NZ;
BELLVISTFOXG;PANP;;Bella Vista Motel Fox Glacier;0;Logies;;;;;;;;Fox Glacier;;NZ;
BELLAVISTFRJ;PANP;;Bella Vista Motel Franz Josef;0;Logies;;;;;;;;Franz Josef;;NZ;
BELVISGREY;PANP;;Bella Vista Motel Greymouth;0;Logies;;;;;;;;Greymouth;;NZ;
 BELLAVISTKIK;PANP;;Bella Vista Motel Kaikoura;0;Logies;;;;;;;;Kaikoura;;NZ;
BELLVISTNPE;PANP;;Bella Vista Motel Napier;0;Logies;;;;;;;;Napier;;NZ;
BELLAVISTNSN;PANP;;Bella Vista Motel Nelson;0;Logies;;;;;;;;Nelson;;NZ;
BELLAVISTZQN;PANP;;Bella Vista Motel Queenstown;0;Logies;;;;;;;;Queenstown;;NZ;
BELLVISTROTO;PANP;;Bella Vista Motel Rotorua;0;Logies;;;;;;;;Rotorua;;NZ;
BELLAVISTTEU;PANP;;Bella Vista Motel Te Anau;0;Logies;;;;;;;;Te Anau;;NZ;
BELLAWAN;PANP;;Bella Vista Motel Wanaka;0;Logies;;;;;;;;Wanaka;;NZ;
BELLAVISTAWLG;PANP;;Bella Vista Motel Wellington;0;Logies;;;;;;;;Wellington;;NZ;
BESTWESTEHVB;PANP;;Best Western Ambassador Motor Lodge Hervey Bay;0;Logies;;;;;;;;Hervey Bay;;AU;
APOLLOBAYAPO;PANP;;Best Western Apollo Bay Motel;0;Logies;;;;;;;;Apollo Bay;;AU;
BESTWESTEPCB1;PANP;;Best Western Great Ocean Road Motor Inn;0;Logies;;;;;;;;Port Campbell;;AU;
PEMBERTONPBM;PANP;;Best Western Pemberton Hotel;0;Logies;;;;;;;;Pemberton;;AU;
BLUEPEAKSZQN;PANP;;Blue Peaks Lodge;0;Logies;;;;;;;;Queenstown;;NZ;
 BLUERIDGETEU;PANP;;Blue Ridge Boutique B&B;0;Incl. Ontbijt;;;;;;;;Te Anau;;NZ;
BLUTCA;PANP;;Bluestone Motor Inn Motel;0;Logies;;;;;;;;Tennant Creek;;AU;
BONDASP;PANP;;Bond Springs Outback Retreat;0;Incl. Ontbijt;;;;;;;;Alice Springs;;AU;
BRECOFF;PANP;;Breakfree Aanuka Beach Resort;0;Logies;;;;;;;;Coffs Harbour;;AU;
HIPSADL;PANP;;Breakfree Adelaide;0;Logies;;;;;;;;Adelaide;;AU;
DIRADL;PANP;;Breakfree Directors Studios Adelaide;0;Logies;;;;;;;;Adelaide;;AU;
HOTELSO;PANP;;Breakfree On Cashel;0;Logies;;;;;;;;Christchurch;;NZ;
BROKENRIVEUN;PANP;;Broken River Mountain Resort;0;Incl. Ontbijtproviand;;;;;;;;Eungella NP;;AU;
APIBYR;PANP;;Byron Bay Hotel And Apartments;0;Logies;;;;;;;;Byron Bay;;AU;
CABLEBME;PANP;;Cable Beach Club Resort And Spa;0;Logies;;;;;;;;Broome;;AU;
CABDUD;PANP;;Cable Court Motel;0;Logies;;;;;;;;Dunedin;;NZ;
CAIRNSBEACNS;PANP;;Cairns Beach Resort;0;Logies;;;;;;;;Cairns;;AU;
TUNATCNS;PANP;;Cairns Plaza Hotel;0;Incl. Ontbijt;;;;;;;;Cairns;;AU;
CNSQUECNS;PANP;;Cairns Queenslander Apartments;0;Logies;;;;;;;;Cairns;;AU;
CAMBNSN;PANP;;Cambria House;0;Incl. Ontbijt;;;;;;;;Nelson;;NZ;
CAPCAPE;PANP;;Cape Trib Beach House;0;Logies;;;;;;;;Cape Tribulation;;AU;
CAPROC;PANP;;Capricorn Caves;0;Incl. Ontbijt;;;;;;;;Rockhampton;;AU;
CAPDUD;PANP;;Captain Eady's Lookout;0;Incl. Ontbijt;;;;;;;;Dunedin;;NZ;
CAPTAIN;PANP;;Captain's At The Bay Guesthouse;0;Incl. Ontbijt;;;;;;;;Apollo Bay;;AU;
CASPAI;PANP;;Casa Bella Motel;0;Logies;;;;;;;;Paihia;;NZ;
CATLINSFARMS;PANP;;Catlins Country Retreat;0;Incl. Ontbijt;;;;;;;;The Catlins;;NZ;
CWTCAT;PANP;;Catlins Mohua Park;0;Logies;;;;;;;;The Catlins;;NZ;
CAUSMEL;PANP;;Causeway Inn On The Mall;0;Incl. Ontbijt;;;;;;;;Melbourne;;AU;
CAYMAN;PANP;;Cayman Villas;0;Logies;;;;;;;;Port Douglas;;AU;
CERVPINN;PANP;;Cervantes Pinnacles Motel;0;Logies;;;;;;;;Cervantes;;AU;
